Customer ID,first_name,last_name,email,city,credit_score,created_at,Date of Birth,Gender,Occupation,Annual Income,Branch Code,Customer Segment,Avg Monthly Balance,Current Balance,Account Type,Tenure with Bank,Risk Rating,Product Type,Product ID,Sale Date,Sales Value/Premium,Revenue Contribution,Status,Month,Quarter,Year,Seasonality Flag,Policy Type,Policy Term
YESB34059957,Reena,Gill,manju.jangra980@yahoo.com,"H.No 787, Civil Lines, Ambala, Haryana",689,2024-05-07,1953-10-24,Male,Business Owner,1260503,GGN003,Retail,136166,137401,Salary,5y 6m,Medium,,,,,,,,,,,,
YESB47991813,Anita,Shukla,pawan.phogat44@icloud.com,"H.No 1089, VPO Kalanaur, Bhiwani, Haryana",329,2023-05-12,1991-09-14,Female,Lawyer,1237123,GGN001,SME,158007,172131,Savings,5y 2m,High,,,,,,,,,,,,
YESB26966950,Ram,Phogat,seema.singhal831@gmail.com,"H.No 725, VPO Kharkhoda, Karnal, Haryana",438,2024-03-06,1988-02-05,Male,Business Owner,800731,GGN002,Retail,88750,72989,Salary,3y 9m,High,,,,,,,,,,,,
YESB26654536,Anita,Jangra,kuldeep.phogat364@icloud.com,"H.No 1478, Sector 14, Panchkula, Haryana",353,2022-12-04,1956-02-14,Female,Government Employee,1781280,GGN003,High Net Worth,252332,249372,Savings,8y 5m,High,,,,,,,,,,,,
YESB45792563,Seema,Dahiya,deepak.jangra721@outlook.com,"H.No 1228, VPO Kharkhoda, Gurugram, Haryana",776,2021-11-15,1956-04-28,Female,Engineer,399031,GGN004,Retail,71768,83519,Savings,15y 2m,Low,,,,,,,,,,,,
YESB48913632,Ishwar,Tanwar,amit.jangra773@hotmail.com,"H.No 861, Sector 14, Hisar, Haryana",706,2021-03-23,2004-10-29,Male,Freelancer,2153007,GGN004,High Net Worth,131948,115379,Salary,11y 4m,Medium,,,,,,,,,,,,
YESB20111016,Om,Mittal,kuldeep.sharma38@outlook.com,"H.No 528, Urban Estate, Jhajjar, Haryana",679,2019-10-10,1998-08-02,Male,Government Employee,903284,GGN003,SME,55195,57417,Savings,9y 0m,Medium,,,,,,,,,,,,
YESB24800179,Amit,Tayal,suman.bansal502@outlook.com,"H.No 611, Railway Road, Panipat, Haryana",576,2025-11-27,1958-10-16,Female,Freelancer,1671620,GGN004,High Net Worth,270851,285056,Savings,9y 5m,Medium,,,,,,,,,,,,
YESB30926165,Priyanka,Gehlot,pawan.tyagi599@hotmail.com,"H.No 32, Sector 14, Gurugram, Haryana",688,2022-10-09,1985-01-28,Male,Teacher,2154757,GGN004,High Net Worth,190458,165441,Savings,14y 9m,Medium,,,,,,,,,,,,
YESB42607876,Pawan,Kaushik,sandeep.tanwar545@yahoo.com,"H.No 910, Civil Lines, Yamunanagar, Haryana",716,2024-06-24,1956-04-05,Male,Farmer,1812815,GGN002,High Net Worth,241846,275258,Salary,8y 7m,Medium,Loan,PROD103531,2023-05-28 00:00:00,4734145,94682.9,Closed,May,Q2,2023,Regular,,
YESB86864480,Ram,Pandey,rohtas.bansal605@yahoo.com,"H.No 766, Main Market, Hisar, Haryana",652,2023-10-09,1998-12-12,Female,Farmer,1091413,GGN001,Retail,217738,181544,Savings,2y 6m,Medium,,,,,,,,,,,,
YESB13453247,Parveen,Chaudhary,satish.gehlot253@icloud.com,"H.No 223, Railway Road, Rewari, Haryana",795,2022-02-06,1987-08-22,Male,Doctor,1333129,GGN003,SME,161418,189902,Savings,15y 3m,Low,,,,,,,,,,,,
YESB78474816,Balbir,Sheoran,balbir.chauhan101@yahoo.com,"H.No 733, VPO Kharkhoda, Faridabad, Haryana",599,2020-06-01,1968-06-19,Female,Farmer,1408688,GGN003,SME,231692,230775,Savings,3y 1m,Medium,,,,,,,,,,,,
YESB18609000,Anita,Jat,ram.lamba98@hotmail.com,"H.No 323, Civil Lines, Rewari, Haryana",803,2019-10-31,1978-09-13,Female,Engineer,1731025,GGN003,High Net Worth,282322,269115,Savings,5y 5m,Low,Loan,PROD102767,2023-11-12 00:00:00,695950,13919,Active,November,Q4,2023,Festive,,
YESB31773252,Om,Jangra,rakesh.bhardwaj516@icloud.com,"H.No 276, Sector 14, Kaithal, Haryana",689,2024-01-20,1984-08-31,Female,Consultant,2062067,GGN005,High Net Worth,333224,321367,Savings,15y 1m,Medium,,,,,,,,,,,,
YESB88733370,Krishan,Bhardwaj,balbir.duhan396@gmail.com,"H.No 243, VPO Kalanaur, Palwal, Haryana",545,2020-12-12,1985-07-26,Female,Consultant,2481341,GGN005,High Net Worth,173053,174876,Savings,6y 11m,Medium,,,,,,,,,,,,
YESB72116276,Suman,Kaushik,jagdish.gill552@outlook.com,"H.No 532, Main Market, Panipat, Haryana",502,2023-10-08,2006-08-04,Female,Teacher,2315122,GGN001,High Net Worth,189660,154654,Savings,8y 11m,Medium,,,,,,,,,,,,
YESB85919687,Ashok,Tiwari,vikram.dahiya873@icloud.com,"H.No 963, Jhajjar Road, Faridabad, Haryana",611,2023-07-07,1964-11-16,Female,Lawyer,811279,GGN001,Retail,152045,141967,Salary,13y 9m,Medium,Credit Card,PROD116853,2024-09-22 00:00:00,0,1500,Active,September,Q3,2024,Regular,,
YESB97449053,Sunil,Sharma,rahul.tiwari50@gmail.com,"H.No 588, Jhajjar Road, Faridabad, Haryana",321,2022-01-08,1990-02-12,Female,Engineer,2378862,GGN001,High Net Worth,337282,277406,Savings,1y 3m,High,,,,,,,,,,,,
YESB84650122,Sandeep,Jat,anil.dalal867@icloud.com,"H.No 730, VPO Kalanaur, Rohtak, Haryana",628,2020-03-04,1983-12-26,Male,Doctor,1572256,GGN003,High Net Worth,259865,268594,Savings,10y 8m,Medium,Mutual Fund,PROD106498,2023-09-28 00:00:00,60039,600.39,Pending,September,Q3,2023,Regular,,
YESB56190423,Yogesh,Tayal,sandeep.lamba276@hotmail.com,"H.No 1161, Main Market, Gurugram, Haryana",826,2019-01-05,1973-10-23,Female,Lawyer,2357836,GGN005,High Net Worth,338063,371214,Salary,10y 5m,Low,,,,,,,,,,,,
YESB99582093,Kuldeep,Sheoran,om.lather365@outlook.com,"H.No 1311, Main Market, Kurukshetra, Haryana",796,2020-05-12,1970-01-07,Male,Private Job,1028680,GGN001,SME,163457,158673,Savings,7y 4m,Low,,,,,,,,,,,,
YESB35210897,Vikram,Shukla,ishwar.hooda120@yahoo.com,"H.No 333, VPO Kalanaur, Kurukshetra, Haryana",457,2024-08-03,1966-10-16,Male,Private Job,2447767,GGN005,High Net Worth,210135,212706,Savings,13y 11m,High,,,,,,,,,,,,
YESB15564709,Pawan,Tayal,sunita.mittal683@gmail.com,"H.No 999, VPO Kalanaur, Rewari, Haryana",371,2022-02-05,1988-09-16,Female,Teacher,1961511,GGN001,High Net Worth,325661,360375,Salary,8y 10m,High,Loan,PROD100261,2023-12-19 00:00:00,2235062,44701.24,Pending,December,Q4,2023,Festive,,
YESB74026716,Jaipal,Mittal,hawa.panchal390@outlook.com,"H.No 50, Urban Estate, Palwal, Haryana",795,2022-11-14,2007-01-19,Male,Engineer,1410958,GGN002,Retail,157726,148077,Salary,12y 9m,Low,Loan,PROD120557,2024-08-23 00:00:00,2887775,57755.5,Pending,August,Q3,2024,Regular,,
YESB34029301,Sumit,Dhankar,rajesh.panwar436@outlook.com,"H.No 360, Civil Lines, Karnal, Haryana",690,2023-05-01,1951-09-20,Male,Farmer,2267448,GGN001,High Net Worth,129772,113992,Salary,7y 8m,Medium,Loan,PROD106739,2024-09-09 00:00:00,1042148,20842.96,Pending,September,Q3,2024,Regular,,
YESB92838467,Parveen,Aggarwal,suman.tanwar290@hotmail.com,"H.No 1228, Jhajjar Road, Kaithal, Haryana",315,2020-08-13,1983-06-09,Male,Lawyer,1195798,GGN005,SME,78422,72859,Salary,7y 8m,High,,,,,,,,,,,,
YESB59226864,Kuldeep,Rana,vikas.rana258@gmail.com,"H.No 519, VPO Kharkhoda, Sonipat, Haryana",624,2024-06-21,1982-01-16,Male,Teacher,1341849,GGN005,SME,266163,223652,Savings,11y 4m,Medium,Loan,PROD103814,2024-09-21 00:00:00,2683156,53663.12,Active,September,Q3,2024,Regular,,
YESB80323548,Vijay,Vats,naveen.kundu139@gmail.com,"H.No 494, VPO Kalanaur, Faridabad, Haryana",606,2019-04-29,2001-07-01,Male,Business Owner,1844075,GGN005,High Net Worth,331353,397109,Salary,12y 5m,Medium,,,,,,,,,,,,
YESB16914447,Pawan,Rana,rakesh.lamba512@gmail.com,"H.No 958, VPO Kharkhoda, Kurukshetra, Haryana",546,2024-07-31,1974-09-20,Female,Doctor,835923,GGN003,SME,153460,162844,Salary,10y 5m,Medium,,,,,,,,,,,,
YESB40478213,Sunita,Panchal,dharmender.duhan956@outlook.com,"H.No 272, Sector 14, Ambala, Haryana",606,2023-10-04,1975-08-28,Male,Doctor,1110368,GGN004,Retail,193341,191722,Savings,5y 11m,Medium,,,,,,,,,,,,
YESB11813208,Kavita,Malik,krishan.tiwari798@icloud.com,"H.No 167, VPO Meham, Nuh, Haryana",705,2022-01-29,1995-11-25,Female,Business Owner,851019,GGN005,Retail,124314,123749,Savings,15y 0m,Medium,,,,,,,,,,,,
YESB70667567,Jagdish,Pandey,anita.panwar839@gmail.com,"H.No 447, Urban Estate, Hisar, Haryana",494,2025-12-18,1961-12-12,Female,Consultant,2463354,GGN002,High Net Worth,331578,321120,Savings,7y 3m,High,,,,,,,,,,,,
YESB47108381,Meena,Bansal,satish.malik32@yahoo.com,"H.No 1135, VPO Meham, Kaithal, Haryana",602,2022-08-31,1992-12-21,Female,Engineer,481752,GGN001,Retail,46469,40761,Savings,11y 9m,Medium,Insurance,PROD119293,2024-11-08 00:00:00,54911,8236.65,Closed,November,Q4,2024,Festive,Health,24
YESB12889557,Yogesh,Dhankar,hawa.khatri640@yahoo.com,"H.No 1318, VPO Meham, Yamunanagar, Haryana",646,2020-04-16,2008-02-05,Female,Lawyer,1393639,GGN002,Retail,238190,203332,Salary,5y 11m,Medium,Mutual Fund,PROD100652,2024-01-10 00:00:00,331823,3318.23,Active,January,Q1,2024,Regular,,
YESB12889557,Yogesh,Dhankar,hawa.khatri640@yahoo.com,"H.No 1318, VPO Meham, Yamunanagar, Haryana",646,2020-04-16,2008-02-05,Female,Lawyer,1393639,GGN002,Retail,238190,203332,Salary,5y 11m,Medium,Credit Card,PROD100675,2024-08-16 00:00:00,0,1500,Closed,August,Q3,2024,Regular,,
YESB12889557,Yogesh,Dhankar,hawa.khatri640@yahoo.com,"H.No 1318, VPO Meham, Yamunanagar, Haryana",646,2020-04-16,2008-02-05,Female,Lawyer,1393639,GGN002,Retail,238190,203332,Salary,5y 11m,Medium,Mutual Fund,PROD121083,2024-01-10 00:00:00,348554,3485.54,Pending,January,Q1,2024,Regular,,
YESB54075499,Ajay,Panwar,vikas.chauhan973@outlook.com,"H.No 1168, Railway Road, Charkhi Dadri, Haryana",426,2024-02-06,1982-02-12,Female,Doctor,1166384,GGN005,SME,134767,140367,Savings,8y 5m,High,Insurance,PROD102604,2024-02-19 00:00:00,151677,22751.55,Pending,February,Q1,2024,Regular,Life,20
YESB54075499,Ajay,Panwar,vikas.chauhan973@outlook.com,"H.No 1168, Railway Road, Charkhi Dadri, Haryana",426,2024-02-06,1982-02-12,Female,Doctor,1166384,GGN005,SME,134767,140367,Savings,8y 5m,High,Fixed Deposit,PROD120098,2023-12-27 00:00:00,353900,1769.5,Pending,December,Q4,2023,Festive,,
YESB26060965,Balbir,Vats,sunil.rathi164@outlook.com,"H.No 225, Main Market, Panchkula, Haryana",364,2024-03-16,1982-03-05,Male,Freelancer,773809,GGN003,Retail,66486,61075,Savings,1y 11m,High,Insurance,PROD119035,2023-08-23 00:00:00,240803,36120.45,Closed,August,Q3,2023,Regular,General,24
YESB59317111,Jagdish,Gill,vijay.punia396@yahoo.com,"H.No 967, Model Town, Ambala, Haryana",729,2025-08-02,2005-03-03,Male,Lawyer,1423451,GGN001,Retail,256044,276413,Salary,12y 7m,Medium,Credit Card,PROD110307,2024-03-07 00:00:00,0,1500,Closed,March,Q1,2024,FY End,,
YESB59317111,Jagdish,Gill,vijay.punia396@yahoo.com,"H.No 967, Model Town, Ambala, Haryana",729,2025-08-02,2005-03-03,Male,Lawyer,1423451,GGN001,Retail,256044,276413,Salary,12y 7m,Medium,Mutual Fund,PROD124280,2023-03-20 00:00:00,341913,3419.13,Pending,March,Q1,2023,FY End,,
YESB98899671,Pawan,Tanwar,manju.mishra410@hotmail.com,"H.No 237, Civil Lines, Jhajjar, Haryana",401,2023-02-13,2004-11-24,Female,Consultant,2292487,GGN005,High Net Worth,410283,372138,Savings,2y 2m,High,Insurance,PROD116196,2024-02-04 00:00:00,126175,18926.25,Pending,February,Q1,2024,Regular,Health,10
YESB98899671,Pawan,Tanwar,manju.mishra410@hotmail.com,"H.No 237, Civil Lines, Jhajjar, Haryana",401,2023-02-13,2004-11-24,Female,Consultant,2292487,GGN005,High Net Worth,410283,372138,Savings,2y 2m,High,Loan,PROD118815,2023-11-16 00:00:00,1982286,39645.72,Active,November,Q4,2023,Festive,,
YESB49355916,Manoj,Saini,anita.khatri15@hotmail.com,"H.No 1000, Main Market, Kurukshetra, Haryana",641,2021-09-24,1998-04-26,Male,Consultant,1346254,GGN003,Retail,256831,225507,Salary,14y 11m,Medium,,,,,,,,,,,,
YESB99501605,Anil,Jat,sumit.jat74@outlook.com,"H.No 1103, VPO Kalanaur, Kaithal, Haryana",448,2020-06-16,2005-05-27,Male,Private Job,474096,GGN005,SME,92783,89017,Savings,7y 10m,High,Loan,PROD109865,2024-03-18 00:00:00,1243607,24872.14,Closed,March,Q1,2024,FY End,,
YESB71063178,Manoj,Khatri,rohtas.hooda781@gmail.com,"H.No 185, Jhajjar Road, Yamunanagar, Haryana",416,2019-09-18,1983-04-03,Male,Government Employee,2108688,GGN004,High Net Worth,210076,180333,Savings,5y 0m,High,Credit Card,PROD101708,2024-12-04 00:00:00,0,1500,Active,December,Q4,2024,Festive,,
YESB71063178,Manoj,Khatri,rohtas.hooda781@gmail.com,"H.No 185, Jhajjar Road, Yamunanagar, Haryana",416,2019-09-18,1983-04-03,Male,Government Employee,2108688,GGN004,High Net Worth,210076,180333,Savings,5y 0m,High,Fixed Deposit,PROD112222,2024-09-18 00:00:00,558582,2792.91,Closed,September,Q3,2024,Regular,,
YESB44043860,Meena,Deswal,ishwar.beniwal766@hotmail.com,"H.No 67, VPO Meham, Kaithal, Haryana",362,2024-05-15,1994-04-16,Male,Doctor,1870012,GGN002,High Net Worth,273701,314543,Salary,7y 6m,High,,,,,,,,,,,,
YESB23157771,Amit,Sangwan,manju.jangra398@outlook.com,"H.No 493, Railway Road, Charkhi Dadri, Haryana",690,2025-09-12,1961-09-25,Male,Farmer,857934,GGN004,SME,138928,146142,Salary,5y 5m,Medium,,,,,,,,,,,,
YESB78766998,Ashok,Gupta,hawa.dubey496@hotmail.com,"H.No 1059, VPO Kharkhoda, Karnal, Haryana",647,2024-02-01,1978-08-05,Male,Farmer,427381,GGN004,SME,29820,25307,Savings,3y 0m,Medium,,,,,,,,,,,,
YESB92424915,Om,Hooda,pawan.dahiya896@outlook.com,"H.No 343, Main Market, Kaithal, Haryana",681,2020-06-16,1951-05-03,Male,Farmer,328644,GGN003,Retail,52584,43615,Savings,6y 0m,Medium,,,,,,,,,,,,
YESB64166580,Sushil,Khatri,dalbir.kundu996@icloud.com,"H.No 495, Jhajjar Road, Palwal, Haryana",660,2020-02-29,2000-09-23,Female,Farmer,1699868,GGN002,High Net Worth,193250,161731,Savings,3y 4m,Medium,Insurance,PROD114890,2024-02-02 00:00:00,95260,14289,Closed,February,Q1,2024,Regular,Health,13
YESB64166580,Sushil,Khatri,dalbir.kundu996@icloud.com,"H.No 495, Jhajjar Road, Palwal, Haryana",660,2020-02-29,2000-09-23,Female,Farmer,1699868,GGN002,High Net Worth,193250,161731,Savings,3y 4m,Medium,Credit Card,PROD119292,2024-08-09 00:00:00,0,1500,Pending,August,Q3,2024,Regular,,
YESB77394878,Sanjay,Yadav,jagdish.dubey700@hotmail.com,"H.No 623, VPO Meham, Jhajjar, Haryana",326,2025-10-30,1958-11-10,Female,Business Owner,2422356,GGN005,High Net Worth,347972,394685,Savings,8y 0m,High,,,,,,,,,,,,
YESB24665039,Sumit,Phogat,jagdish.panchal409@hotmail.com,"H.No 983, Urban Estate, Palwal, Haryana",331,2020-01-11,1974-02-19,Female,Freelancer,506332,GGN004,SME,98559,88018,Savings,10y 3m,High,Loan,PROD102656,2024-08-26 00:00:00,754289,15085.78,Pending,August,Q3,2024,Regular,,
YESB41972125,Yogesh,Dalal,rohtas.gehlot776@yahoo.com,"H.No 400, Railway Road, Rohtak, Haryana",383,2022-01-19,1968-05-29,Male,Engineer,1470461,GGN005,SME,232002,227740,Salary,11y 8m,High,,,,,,,,,,,,
YESB28508418,Ankit,Gehlot,jagdish.tanwar628@gmail.com,"H.No 1165, Model Town, Sirsa, Haryana",525,2023-06-07,2004-05-12,Male,Farmer,1129877,GGN005,SME,187445,167649,Savings,13y 9m,Medium,Loan,PROD123034,2024-11-02 00:00:00,1252651,25053.02,Pending,November,Q4,2024,Festive,,
