Merchant ID,Merchant Firm Name,Merchant Name,Address,IFSC Code,GST Number,Proprietor DOB,Gender,Occupation,Annual Turnover,Branch Code,Customer Segment,Avg Monthly Balance,Current Balance,Account Type,Tenure with Bank,Risk Rating,Product Type,Product ID,Sale Date,Sales Value/Premium,Revenue Contribution,Status,Month,Quarter,Year,Seasonality Flag,Policy Type,Policy Term
YESB49786654,Sharma Ventures,Manoj Rathi,"Plot 136, Sector 14, Gurgaon, HR",YESB0000655,06FQYER1866B1Z2,1964-02-08,Male,Business Owner,1682824,GGN001,SME,486129,529330,Current,8y 11m,Medium,,,,,,,,,,,,
YESB68820310,Dalal Enterprises,Sanjay Hooda,"Plot 36, Cyber City, Gurgaon, HR",YESB0000655,06QBBQY1259Q1Z8,1976-10-04,Male,Business Owner,5793993,GGN003,Corporate,729654,837675,Current,2y 7m,Medium,,,,,,,,,,,,
YESB23179280,Saini Agencies,Pawan Gupta,"Plot 740, Sector 14, Gurgaon, HR",YESB0000655,06LZZVR7662M1Z4,1985-02-08,Female,Business Owner,5649852,GGN005,Corporate,923297,885274,Current,2y 10m,Medium,Fixed Deposit,PROD107851,2023-07-03 00:00:00,231141,1155.7,Pending,July,Q3,2023,Regular,,
YESB30491819,Hooda Solutions,Sanjay Malik,"Plot 156, DLF Phase 1, Gurgaon, HR",YESB0000655,06LIKWJ2819B1Z6,1969-06-27,Female,Business Owner,3149875,GGN001,SME,896696,792546,Current,10y 5m,Medium,,,,,,,,,,,,
YESB57986661,Hooda Solutions,Manoj Malik,"Plot 538, DLF Phase 1, Gurgaon, HR",YESB0000655,06MAJVO2346O1Z7,1984-08-29,Female,Business Owner,5209743,GGN004,Corporate,1408542,1649145,Current,3y 8m,Medium,,,,,,,,,,,,
YESB92421179,Hooda Trading Co,Naveen Sharma,"Plot 44, Cyber City, Gurgaon, HR",YESB0000655,06BMYSR0762O1Z6,1961-07-24,Female,Business Owner,7074014,GGN001,Corporate,1089295,1052928,Current,8y 0m,Medium,,,,,,,,,,,,
YESB60462372,Saini Trading Co,Pawan Rathi,"Plot 626, Sohna Road, Gurgaon, HR",YESB0000655,06UJZPU9672Q1Z2,1982-01-10,Female,Business Owner,5764954,GGN002,Corporate,824497,861453,Current,2y 7m,Medium,,,,,,,,,,,,
YESB43532005,Hooda Enterprises,Vijay Sharma,"Plot 399, Cyber City, Gurgaon, HR",YESB0000655,06MNVWY1927Y1Z2,1974-08-31,Female,Business Owner,9276067,GGN002,Corporate,968558,840920,Current,2y 5m,Medium,,,,,,,,,,,,
YESB82925917,Rathi Ventures,Sandeep Yadav,"Plot 757, DLF Phase 1, Gurgaon, HR",YESB0000655,06KPTYE8998Q1Z6,1968-11-18,Female,Business Owner,8827920,GGN005,Corporate,2069951,2244361,Current,4y 8m,Medium,,,,,,,,,,,,
YESB28323088,Rathi Trading Co,Pawan Malik,"Plot 103, DLF Phase 1, Gurgaon, HR",YESB0000655,06JLAZG8891F1Z5,1972-03-21,Female,Business Owner,1615149,GGN002,SME,402532,408483,Current,9y 11m,Medium,,,,,,,,,,,,
YESB14323345,Rathi Solutions,Sunil Malik,"Plot 768, Sector 14, Gurgaon, HR",YESB0000655,06RIVKS7985E1Z4,1986-01-11,Male,Business Owner,5239082,GGN001,Corporate,1424316,1203212,Current,9y 3m,Medium,,,,,,,,,,,,
YESB65210722,Saini Agencies,Kuldeep Rathi,"Plot 532, Udyog Vihar, Gurgaon, HR",YESB0000655,06JRGMI3127R1Z8,1963-03-19,Male,Business Owner,1323553,GGN002,SME,360422,313257,Current,1y 3m,Medium,Loan,PROD102651,2024-02-02 00:00:00,2124769,42495.38,Closed,February,Q1,2024,Regular,,
YESB65210722,Saini Agencies,Kuldeep Rathi,"Plot 532, Udyog Vihar, Gurgaon, HR",YESB0000655,06JRGMI3127R1Z8,1963-03-19,Male,Business Owner,1323553,GGN002,SME,360422,313257,Current,1y 3m,Medium,Credit Card,PROD117086,2024-08-04 00:00:00,0,1500,Active,August,Q3,2024,Regular,,
YESB18513746,Dalal Agencies,Anil Hooda,"Plot 77, Cyber City, Gurgaon, HR",YESB0000655,06RDWQO2723G1Z4,1975-03-18,Female,Business Owner,9024939,GGN005,Corporate,971297,1018761,Current,3y 1m,Medium,,,,,,,,,,,,
YESB32587651,Gupta Enterprises,Pawan Hooda,"Plot 99, DLF Phase 1, Gurgaon, HR",YESB0000655,06JQBQC9020E1Z3,1998-02-15,Female,Business Owner,1502613,GGN005,SME,236583,206037,Current,9y 3m,Medium,,,,,,,,,,,,
YESB15381963,Dalal Enterprises,Naveen Rathi,"Plot 603, DLF Phase 1, Gurgaon, HR",YESB0000655,06MACIE1113R1Z4,1994-07-04,Female,Business Owner,2863932,GGN003,SME,420270,367325,Current,4y 10m,Medium,,,,,,,,,,,,
YESB30099985,Chaudhary Solutions,Kuldeep Saini,"Plot 29, Cyber City, Gurgaon, HR",YESB0000655,06XFEHE7879L1Z6,1999-10-06,Male,Business Owner,1364757,GGN005,SME,208651,181885,Current,7y 0m,Medium,,,,,,,,,,,,
YESB88906649,Saini Agencies,Pawan Yadav,"Plot 920, DLF Phase 1, Gurgaon, HR",YESB0000655,06JVVAX5819B1Z5,1971-01-18,Female,Business Owner,5162279,GGN002,Corporate,694176,697101,Current,4y 5m,Medium,,,,,,,,,,,,
YESB57008738,Malik Ventures,Kuldeep Dalal,"Plot 235, Sector 14, Gurgaon, HR",YESB0000655,06LWCTT1868P1Z0,1991-01-31,Male,Business Owner,3674955,GGN005,SME,1095380,1238748,Current,1y 9m,Medium,Mutual Fund,PROD106782,2024-04-22 00:00:00,364323,3643.23,Active,April,Q2,2024,Regular,,
YESB57008738,Malik Ventures,Kuldeep Dalal,"Plot 235, Sector 14, Gurgaon, HR",YESB0000655,06LWCTT1868P1Z0,1991-01-31,Male,Business Owner,3674955,GGN005,SME,1095380,1238748,Current,1y 9m,Medium,Credit Card,PROD117631,2023-11-13 00:00:00,0,1500,Closed,November,Q4,2023,Festive,,
YESB29138661,Hooda Enterprises,Manoj Chaudhary,"Plot 805, Udyog Vihar, Gurgaon, HR",YESB0000655,06YIRNB0888T1Z0,1969-10-18,Female,Business Owner,1529142,GGN004,SME,413850,417986,Current,2y 1m,Medium,,,,,,,,,,,,
YESB70628088,Dalal Solutions,Kuldeep Dalal,"Plot 440, Sector 14, Gurgaon, HR",YESB0000655,06DWAJE0700N1Z3,1993-02-11,Female,Business Owner,6770954,GGN005,Corporate,1407479,1349138,Current,1y 7m,Medium,,,,,,,,,,,,
YESB67610211,Hooda Solutions,Rajesh Hooda,"Plot 300, Sector 14, Gurgaon, HR",YESB0000655,06LKTPM2256N1Z5,1997-05-18,Female,Business Owner,7417971,GGN005,Corporate,873720,944864,Current,6y 2m,Medium,,,,,,,,,,,,
YESB64179292,Rathi Trading Co,Kuldeep Chaudhary,"Plot 378, Sohna Road, Gurgaon, HR",YESB0000655,06MOKSQ3385B1Z1,1971-10-18,Female,Business Owner,6139510,GGN001,Corporate,1431482,1413625,Current,5y 5m,Medium,,,,,,,,,,,,
YESB16889716,Hooda Enterprises,Amit Dalal,"Plot 210, Sohna Road, Gurgaon, HR",YESB0000655,06PHHYF5159U1Z9,1971-05-02,Male,Business Owner,9724267,GGN003,Corporate,2474596,2463106,Current,6y 11m,Medium,,,,,,,,,,,,
YESB30225507,Hooda Enterprises,Rajesh Yadav,"Plot 368, DLF Phase 1, Gurgaon, HR",YESB0000655,06ABQCM8326R1Z0,1961-09-13,Female,Business Owner,6933152,GGN001,Corporate,1034673,858259,Current,4y 4m,Medium,,,,,,,,,,,,
YESB53357059,Yadav Trading Co,Vikram Malik,"Plot 86, Cyber City, Gurgaon, HR",YESB0000655,06WYIOK5924D1Z7,1987-11-02,Male,Business Owner,8154313,GGN003,Corporate,1553757,1403808,Current,2y 11m,Medium,,,,,,,,,,,,
YESB33016243,Rathi Agencies,Sanjay Malik,"Plot 746, Cyber City, Gurgaon, HR",YESB0000655,06VOAXQ2307M1Z6,1999-06-09,Male,Business Owner,6457971,GGN003,Corporate,1110085,1276158,Current,10y 10m,Medium,,,,,,,,,,,,
YESB71725472,Rathi Agencies,Deepak Verma,"Plot 895, Sector 14, Gurgaon, HR",YESB0000655,06EETGV6999M1Z9,1971-10-18,Male,Business Owner,2619607,GGN005,SME,738629,872648,Current,3y 1m,Medium,Loan,PROD118842,2024-02-10 00:00:00,2368721,47374.42,Active,February,Q1,2024,Regular,,
YESB12354924,Chaudhary Ventures,Deepak Rathi,"Plot 985, Sohna Road, Gurgaon, HR",YESB0000655,06HLWQS1569D1Z3,1985-02-23,Female,Business Owner,7329163,GGN001,Corporate,737628,786565,Current,3y 5m,Medium,,,,,,,,,,,,
YESB93592037,Gupta Solutions,Deepak Rathi,"Plot 839, DLF Phase 1, Gurgaon, HR",YESB0000655,06BUFPV9172O1Z8,1987-04-17,Female,Business Owner,5130896,GGN005,Corporate,1450339,1564285,Current,9y 3m,Medium,,,,,,,,,,,,
YESB34587373,Dalal Ventures,Sandeep Dalal,"Plot 970, Cyber City, Gurgaon, HR",YESB0000655,06RFQUU8084C1Z1,1977-09-01,Female,Business Owner,7269388,GGN003,Corporate,2131499,1985703,Current,8y 3m,Medium,,,,,,,,,,,,
YESB10781952,Gupta Enterprises,Manoj Rathi,"Plot 802, Sector 14, Gurgaon, HR",YESB0000655,06IXKWT8916Q1Z2,1979-08-20,Male,Business Owner,6366002,GGN001,Corporate,1241506,1151596,Current,5y 9m,Medium,,,,,,,,,,,,
YESB46586889,Yadav Agencies,Rajesh Yadav,"Plot 592, Cyber City, Gurgaon, HR",YESB0000655,06JLAVN1606R1Z3,1999-07-29,Female,Business Owner,2737135,GGN001,SME,336012,321476,Current,8y 3m,Medium,,,,,,,,,,,,
YESB25780971,Rathi Ventures,Amit Chaudhary,"Plot 494, Udyog Vihar, Gurgaon, HR",YESB0000655,06GUHVR6251H1Z6,1964-07-14,Female,Business Owner,7811040,GGN001,Corporate,1219184,1081074,Current,9y 0m,Medium,,,,,,,,,,,,
YESB67204483,Verma Agencies,Vikram Verma,"Plot 230, DLF Phase 1, Gurgaon, HR",YESB0000655,06YAGXU6029T1Z2,1995-04-06,Male,Business Owner,7886399,GGN004,Corporate,1313503,1108325,Current,2y 6m,Medium,,,,,,,,,,,,
YESB95405199,Yadav Ventures,Naveen Hooda,"Plot 563, Udyog Vihar, Gurgaon, HR",YESB0000655,06FFAWY3500K1Z1,1969-09-07,Male,Business Owner,3349720,GGN003,SME,604937,596206,Current,5y 4m,Medium,,,,,,,,,,,,
YESB51608419,Hooda Enterprises,Deepak Chaudhary,"Plot 117, Sector 14, Gurgaon, HR",YESB0000655,06XEHXY1313K1Z3,1990-08-25,Female,Business Owner,6688623,GGN003,Corporate,721012,615181,Current,4y 7m,Medium,,,,,,,,,,,,
YESB44272689,Dalal Solutions,Rakesh Malik,"Plot 690, Udyog Vihar, Gurgaon, HR",YESB0000655,06HDERW7619D1Z2,1998-11-20,Male,Business Owner,1778929,GGN003,SME,499282,459132,Current,2y 4m,Medium,,,,,,,,,,,,
YESB49531287,Dalal Enterprises,Sunil Verma,"Plot 707, DLF Phase 1, Gurgaon, HR",YESB0000655,06CITOG8220B1Z9,1990-12-07,Male,Business Owner,1027445,GGN004,SME,120745,137252,Current,10y 7m,Medium,Mutual Fund,PROD109823,2023-01-16 00:00:00,212218,2122.18,Pending,January,Q1,2023,Regular,,
YESB49531287,Dalal Enterprises,Sunil Verma,"Plot 707, DLF Phase 1, Gurgaon, HR",YESB0000655,06CITOG8220B1Z9,1990-12-07,Male,Business Owner,1027445,GGN004,SME,120745,137252,Current,10y 7m,Medium,Mutual Fund,PROD120258,2024-01-26 00:00:00,397617,3976.17,Pending,January,Q1,2024,Regular,,
YESB83715544,Chaudhary Ventures,Ajay Verma,"Plot 544, Udyog Vihar, Gurgaon, HR",YESB0000655,06WNEBV7753Z1Z0,1982-12-09,Female,Business Owner,8735734,GGN003,Corporate,1354253,1173102,Current,2y 11m,Medium,Loan,PROD104926,2023-07-18 00:00:00,2309459,46189.18,Active,July,Q3,2023,Regular,,
YESB83715544,Chaudhary Ventures,Ajay Verma,"Plot 544, Udyog Vihar, Gurgaon, HR",YESB0000655,06WNEBV7753Z1Z0,1982-12-09,Female,Business Owner,8735734,GGN003,Corporate,1354253,1173102,Current,2y 11m,Medium,Fixed Deposit,PROD108188,2024-06-29 00:00:00,220129,1100.64,Pending,June,Q2,2024,Regular,,
